Designator,Mid X,Mid Y,Rotation,Layer
C1,233.972,-63.688,90.0,top
C10,184.696,-99.314,270.0,top
C11,53.505,-78.994,270.0,top
C12,53.505,-99.314,270.0,top
C13,140.965667,-78.994,270.0,top
C14,140.965667,-99.314,270.0,top
C15,97.235333,-78.994,270.0,top
C16,97.235333,-99.314,270.0,top
C17,229.87,-119.634,180.0,top
C2,233.972,-69.342,270.0,top
C3,217.104,-122.682,180.0,top
C4,213.36,-122.682,0.0,top
C5,205.552,-122.682,180.0,top
C6,209.428,-122.72,0.0,top
C7,233.972,-92.202,90.0,top
C8,233.972,-97.028,270.0,top
C9,184.696,-78.994,270.0,top
D1,238.852,-83.013,180.0,top
D2,238.852,-85.598,180.0,top
J1,211.77,-128.524,180.0,top
J2,191.935,-91.694,270.0,top
J3,60.744,-91.694,270.0,top
J4,148.204667,-91.694,270.0,top
J5,104.474333,-91.694,270.0,top
R1,208.4305,-77.978,180.0,top
R2,208.4305,-80.772,180.0,top
R3,234.442,-85.598,0.0,top
R4,234.442,-83.058,0.0,top
R5,229.87,-122.428,180.0,top
R6,234.442,-73.152,180.0,top
R7,234.442,-80.518,180.0,top
R8,234.442,-75.607333,180.0,top
R9,234.442,-78.062667,180.0,top
SW1,230.124,-127.254,180.0,top
U1,222.288,-80.518,0.0,top
